Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,906389,32,50
2,1883974,64,128
3,5322366,155,428
4,21171469,209,902
5,49675406,262,1372
6,101778407,141,1266
7,118956908,131,1260
