Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,2322174,32,50
2,3503389,64,128
3,7365711,155,428
4,27825833,209,902
5,66797140,262,1372
6,135748929,141,1266
7,158176532,131,1260
