Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,1527332,32,50
2,3151022,64,128
3,8358424,155,428
4,29122886,209,902
5,67216993,262,1372
6,127044022,141,1266
7,151871531,131,1260
