Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,1134882,32,50
2,2126205,64,128
3,5662189,155,428
4,21810536,209,902
5,51301527,262,1372
6,110382986,141,1266
7,127556529,131,1260
