Iteration,Time(ns),NumEClasses,NumENodes
0,0,81,81
1,2283229,81,160
2,4862298,81,315
3,10238328,81,613
4,27513513,81,1161
5,82744946,81,2065
6,233223888,81,3105
7,531186445,81,3241
