Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,927302,32,50
2,1920782,64,128
3,7010530,155,428
4,37187963,209,902
5,105112533,262,1372
6,245049290,141,1266
7,334053799,131,1260
