Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,971070,32,50
2,1932805,64,128
3,5416157,155,428
4,21221146,209,902
5,48828345,262,1372
6,100194965,141,1266
7,119632466,131,1260
