Iteration,Time(ns),NumEClasses,NumENodes
0,0,81,81
1,1778018,81,160
2,3666381,81,315
3,7751662,81,613
4,19325738,81,1161
5,55896571,81,2065
6,156089619,81,3105
7,279232867,81,3241
