Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,916209,32,50
2,1859880,64,128
3,6777540,155,428
4,35149995,209,902
5,102093737,262,1372
6,240611776,141,1266
7,328660300,131,1260
