Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,1016788,32,50
2,1895516,64,128
3,5496350,155,428
4,22255104,209,902
5,53053328,262,1372
6,111359551,141,1266
7,130803245,131,1260
