Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,1511828,32,50
2,3086240,64,128
3,7673339,155,428
4,32514946,209,902
5,80257872,262,1372
6,153910695,141,1266
7,206761953,131,1260
