Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,1475105,32,50
2,2608640,64,128
3,7022767,155,428
4,29233871,209,902
5,70754588,262,1372
6,150518676,141,1266
7,186259098,131,1260
