Iteration,Time(ns),NumEClasses,NumENodes
0,0,81,81
1,2210562,81,160
2,6206281,81,315
3,16226246,81,613
4,43412829,81,1161
5,141580188,81,2065
6,419149770,81,3105
7,875332980,81,3241
