Iteration,Time(ns),NumEClasses,NumENodes
0,0,27,27
1,1391480,32,50
2,2617890,64,128
3,7071010,155,428
4,28238147,209,902
5,68575033,262,1372
6,151232483,141,1266
7,190918855,131,1260
