Iteration,Time(ns),NumEClasses,NumENodes
0,0,81,81
1,2996210,81,160
2,6733619,81,315
3,14712295,81,613
4,32281691,81,1161
5,86484075,81,2065
6,257755502,81,3105
7,505442032,81,3241
