Iteration,Time(ns),NumEClasses,NumENodes
0,0,81,81
1,1474765,81,160
2,3837121,81,315
3,12893126,81,613
4,49549280,81,1161
5,179605147,81,2065
6,590853863,81,3105
7,1425771109,81,3241
